天数 结余 购买 工作中 cpuRatio ramRatio addcnt delcnt
53 74787219 762070 1419 0.131547 0.137863 104 51
54 75777038 989819 1436 0.130529 0.138124 122 47
55 76340729 563691 1445 0.12894 0.139926 95 52
56 77093560 752831 1459 0.129307 0.139767 105 48
57 78325381 1231821 1483 0.12768 0.13934 128 45
58 79333407 1008026 1501 0.125692 0.138631 117 50
59 80360367 1026960 1519 0.127026 0.141188 97 51
60 81442200 1081833 1540 0.127781 0.139848 125 50
61 82264454 822254 1557 0.129267 0.13891 105 48
62 83355050 1090596 1574 0.131916 0.137554 121 51
63 84344576 989526 1591 0.129577 0.136394 124 50
64 85327533 982957 1609 0.129101 0.13677 106 47
65 86491167 1163634 1630 0.13006 0.141466 118 58
66 87315703 824536 1645 0.12969 0.140716 104 48
67 88285338 969635 1662 0.129476 0.139835 117 50
68 89203336 917998 1679 0.129354 0.139784 117 56
69 90056485 853149 1694 0.12915 0.138176 118 58
70 91008866 952381 1712 0.128978 0.137147 113 50
71 91517254 508388 1722 0.128595 0.138375 95 58
72 92386483 869229 1736 0.129478 0.139584 107 53
73 93178764 792281 1751 0.126652 0.139131 105 38
74 93716863 538099 1760 0.125004 0.141161 93 58
75 94501528 784665 1774 0.124607 0.142648 104 59
76 95602627 1101099 1793 0.122881 0.142656 130 51
77 96336619 733992 1807 0.119796 0.141645 116 45
78 96926339 589720 1816 0.120078 0.143391 101 59
79 97689304 762965 1829 0.122823 0.145575 96 67
80 98183702 494398 1838 0.120759 0.140831 124 50
81 98740816 557114 1847 0.121256 0.138751 121 66
82 99729002 988186 1866 0.119072 0.138251 130 62
83 100560739 831737 1882 0.120658 0.139071 103 63
84 101322426 761687 1895 0.120872 0.138054 112 53
85 102678274 1355848 1920 0.122146 0.137134 121 42
86 103317247 638973 1934 0.122813 0.13776 107 64
87 103961536 644289 1944 0.123906 0.13904 101 62
88 104727877 766341 1957 0.124356 0.139236 118 67
89 105447583 719706 1971 0.125326 0.13983 106 60
90 106257906 810323 1986 0.127551 0.140707 106 62
91 107000489 742583 2000 0.12772 0.140533 112 68
92 107911414 910925 2017 0.129303 0.141098 106 70
93 108853987 942573 2033 0.131552 0.14147 116 68
94 109370674 516687 2042 0.133235 0.142902 94 74
95 109742793 372119 2046 0.130349 0.142099 109 62
96 110615839 873046 2063 0.131864 0.142519 126 72
97 111371448 755609 2076 0.132038 0.140382 125 73
98 112005856 634408 2088 0.12979 0.139614 105 56
99 112557453 551597 2096 0.13152 0.143084 103 80
100 113096450 538997 2106 0.132136 0.143145 101 53
101 113688875 592425 2115 0.132375 0.144001 103 72
102 114384155 695280 2129 0.132954 0.145897 102 61
103 115038631 654476 2142 0.132296 0.145331 113 60
104 115967640 929009 2158 0.131852 0.144385 122 51
105 116812682 845042 2174 0.131552 0.145983 112 64
106 117556764 744082 2187 0.133744 0.149522 107 80
107 117958614 401850 2194 0.132408 0.148787 106 62
108 118761778 803164 2209 0.132375 0.149879 110 71
109 119731890 970112 2227 0.133113 0.150226 104 59
110 120610107 878217 2241 0.133042 0.150479 128 61
111 121365290 755183 2255 0.130526 0.14856 112 45
112 122221377 856087 2270 0.130646 0.147471 117 62
113 122608096 386719 2276 0.129867 0.147112 103 62
114 123474417 866321 2290 0.131216 0.147466 109 58
115 124271735 797318 2303 0.129833 0.144754 122 57
116 125079095 807360 2319 0.130105 0.14687 116 66
117 125665255 586160 2328 0.128336 0.146341 107 51
118 126426942 761687 2340 0.129624 0.147402 106 71
119 127029991 603049 2351 0.130768 0.149238 97 77
120 127758079 728088 2362 0.127966 0.148918 127 58
121 128393536 635457 2372 0.129806 0.151827 93 83
122 128800759 407223 2381 0.128698 0.152291 100 65
123 129418072 617313 2393 0.130881 0.153778 113 90
124 129835002 416930 2401 0.130216 0.153437 107 63
125 130299286 464284 2411 0.129601 0.151324 113 62
126 130823188 523902 2421 0.129529 0.151896 88 53
127 131381009 557821 2433 0.130623 0.151084 112 68
128 132085477 704468 2444 0.13081 0.152419 100 59
129 132883706 798229 2459 0.129571 0.150774 124 60
130 133678562 794856 2472 0.129751 0.151818 106 62
131 134253238 574676 2482 0.129139 0.151958 100 65
132 134744115 490877 2491 0.129169 0.152212 119 75
133 135233620 489505 2501 0.12909 0.151549 100 64
134 135900903 667283 2512 0.128388 0.15198 115 72
135 136889472 988569 2529 0.127957 0.151137 123 61
136 137584749 695277 2539 0.128483 0.151737 101 67
137 138221859 637110 2553 0.128834 0.151154 109 65
138 138630470 408611 2560 0.12758 0.151156 102 63
139 139445123 814653 2573 0.126392 0.150879 125 66
140 139960615 515492 2580 0.127109 0.151653 98 66
141 140779948 819333 2596 0.126693 0.151315 110 64
142 141720792 940844 2609 0.126231 0.151153 125 59
143 142312137 591345 2621 0.125625 0.150737 119 62
144 142905909 593772 2631 0.12719 0.151073 113 72
145 143140306 234397 2637 0.12582 0.148008 118 70
146 143918063 777757 2650 0.127195 0.149227 110 68
147 144621190 703127 2662 0.127667 0.149694 99 66
148 145441267 820077 2677 0.127775 0.150837 121 72
149 146298539 857272 2694 0.126534 0.150832 106 52
150 146944718 646179 2704 0.126776 0.151397 116 80
151 147253659 308941 2709 0.12728 0.15226 87 70
152 147961950 708291 2720 0.127859 0.151988 107 68
153 148405359 443409 2727 0.126901 0.15 103 58
154 148941442 536083 2736 0.12771 0.149247 106 67
155 149291488 350046 2741 0.127831 0.147868 111 76
156 149943358 651870 2753 0.129763 0.149661 101 80
157 150718869 775511 2766 0.128403 0.150706 108 71
158 151452713 733844 2776 0.127098 0.149759 114 61
159 151985137 532424 2786 0.127505 0.148746 111 64
160 152775591 790454 2800 0.126014 0.148997 120 63
161 153220216 444625 2807 0.126552 0.150145 90 76
162 153661804 441588 2813 0.1267 0.14952 106 73
163 154242240 580436 2825 0.125383 0.149312 114 58
164 154780471 538231 2834 0.126071 0.149985 93 67
165 155460790 680319 2845 0.126697 0.150304 111 76
166 156146302 685512 2855 0.127055 0.151299 110 71
167 156881169 734867 2867 0.127294 0.153036 107 71
168 157623219 742050 2880 0.127199 0.155178 113 76
169 158263749 640530 2891 0.127836 0.154902 110 67
170 158736971 473222 2901 0.128324 0.154144 99 74
171 158869113 132142 2902 0.127456 0.152043 95 60
172 159422396 553283 2912 0.128029 0.151304 115 69
173 160017793 595397 2925 0.127089 0.151854 95 54
174 160836616 818823 2940 0.127169 0.151831 122 59
175 161280013 443397 2948 0.124842 0.148887 128 62
176 162235988 955975 2964 0.125746 0.150679 117 75
177 162796465 560477 2972 0.125331 0.151372 101 64
178 163993787 1197322 2998 0.125439 0.152192 127 65
179 164711785 717998 3009 0.125698 0.150969 104 62
180 165358122 646337 3021 0.126439 0.152183 108 78
181 165984822 626700 3031 0.126374 0.152458 112 74
182 166229309 244487 3034 0.126793 0.15153 107 77
183 166720682 491373 3043 0.127142 0.152844 105 81
184 167198863 478181 3051 0.124723 0.151952 121 77
185 167976959 778096 3066 0.124553 0.153945 94 64
186 168480357 503398 3073 0.126133 0.156495 89 80
187 169011774 531417 3084 0.124952 0.153907 123 58
188 169464459 452685 3092 0.124237 0.15331 107 57
189 170034852 570393 3102 0.123848 0.153404 113 64
190 170892218 857366 3117 0.122151 0.150487 138 69
191 171716041 823823 3129 0.122717 0.15197 101 62
192 172202823 486782 3137 0.122759 0.150706 117 74
193 172595446 392623 3145 0.123294 0.152599 88 74
194 173200175 604729 3154 0.122144 0.152286 121 68
195 173770134 569959 3166 0.122729 0.151379 108 71
196 174087196 317062 3169 0.123541 0.152108 86 72
197 174491137 403941 3178 0.124021 0.152016 114 86
198 174927528 436391 3183 0.123175 0.151831 109 79
199 175460823 533295 3193 0.123632 0.153197 94 72
200 175957456 496633 3200 0.123114 0.151457 111 71
201 176365976 408520 3206 0.123793 0.153438 79 75
202 176755739 389763 3214 0.122724 0.152156 113 65
203 177046334 290595 3220 0.122597 0.152306 103 82
204 177240047 193713 3224 0.124108 0.151 84 62
205 177585699 345652 3229 0.123454 0.149875 107 72
206 178451462 865763 3243 0.122597 0.149966 121 69
207 179161461 709999 3256 0.122366 0.149994 89 47
208 179405565 244104 3262 0.121506 0.148238 87 51
209 179870232 464667 3268 0.12214 0.149276 101 79
210 180324167 453935 3277 0.122372 0.148335 91 59
211 180659823 335656 3283 0.122126 0.147779 111 75
212 180974881 315058 3287 0.121582 0.146049 110 69
213 181338989 364108 3295 0.121907 0.145782 104 75
214 181707305 368316 3302 0.120945 0.146037 107 75
215 182099065 391760 3310 0.120862 0.145455 112 68
216 182657530 558465 3320 0.121803 0.145845 102 70
217 183028739 371209 3327 0.12248 0.145918 87 75
218 183517330 488591 3337 0.125057 0.147781 94 85
219 183730840 213510 3341 0.122941 0.145671 110 69
220 183992932 262092 3344 0.122544 0.144279 98 63
221 184476316 483384 3354 0.123389 0.143981 107 78
222 185075848 599532 3362 0.123281 0.14392 118 82
223 185349472 273624 3367 0.122778 0.142927 97 68
224 186197471 847999 3379 0.12228 0.144385 115 71
225 186690822 493351 3388 0.121615 0.143798 107 61
226 187262953 572131 3397 0.12177 0.144574 96 62
227 187776765 513812 3408 0.121722 0.144206 112 76
228 187951899 175134 3410 0.121379 0.142624 107 68
229 188364335 412436 3416 0.12145 0.142468 108 69
230 188618529 254194 3420 0.122244 0.143694 90 83
231 189213338 594809 3431 0.120608 0.142151 129 67
232 189718357 505019 3441 0.119534 0.140547 116 58
233 190214767 496410 3449 0.118985 0.14074 114 68
234 190783542 568775 3461 0.118392 0.140373 110 57
235 191267778 484236 3470 0.118401 0.140817 95 69
236 191701468 433690 3477 0.118618 0.141392 93 69
237 192241220 539752 3487 0.118004 0.140713 108 60
238 193047560 806340 3503 0.119711 0.143225 102 87
239 193414482 366922 3508 0.119305 0.143062 99 66
240 194044262 629780 3519 0.118616 0.143322 93 62
241 194847308 803046 3532 0.118349 0.143946 104 63
242 195297501 450193 3540 0.11803 0.143505 97 58
243 195973154 675653 3553 0.117241 0.143166 116 61
244 196258899 285745 3558 0.117839 0.143522 84 63
245 196944783 685884 3572 0.116447 0.142798 106 46
246 197341209 396426 3577 0.115867 0.141944 109 76
247 198076573 735364 3591 0.115592 0.14174 117 63
248 198782449 705876 3603 0.113978 0.139914 125 55
249 199365647 583198 3613 0.114532 0.140804 90 65
250 199833351 467704 3621 0.11475 0.141899 90 69
251 200351132 517781 3631 0.114603 0.142458 103 72
252 201165696 814564 3643 0.114892 0.141172 121 67
253 201626686 460990 3653 0.115537 0.140979 104 73
254 202474652 847966 3669 0.115315 0.140942 105 54
255 202866712 392060 3677 0.115361 0.14021 110 73
256 203111199 244487 3681 0.115171 0.139534 112 76
257 203677082 565883 3688 0.115146 0.138776 97 61
258 204089022 411940 3696 0.113982 0.137762 119 58
259 204566816 477794 3704 0.114803 0.138994 90 78
260 204719896 153080 3706 0.114665 0.138624 96 76
261 205177893 457997 3715 0.11518 0.138278 96 62
262 205831522 653629 3725 0.115015 0.138245 112 70
263 206045032 213510 3729 0.115158 0.138016 97 76
264 206697125 652093 3739 0.114885 0.13774 105 68
265 207483336 786211 3753 0.11454 0.138044 104 56
266 207970687 487351 3761 0.114787 0.139431 93 81
267 208754539 783852 3774 0.114591 0.141006 97 64
268 209575655 821116 3790 0.114119 0.140633 108 66
269 210005941 430286 3795 0.114646 0.141644 89 64
270 210519382 513441 3801 0.114337 0.141117 102 62
271 210938284 418902 3808 0.114067 0.142147 101 68
272 211597560 659276 3822 0.113859 0.142251 103 70
273 212309585 712025 3837 0.113681 0.142079 104 56
274 213256571 946986 3853 0.113483 0.14319 116 64
275 213920274 663703 3865 0.114133 0.142821 115 76
276 214451835 531561 3874 0.116024 0.144542 89 83
277 214909449 457614 3885 0.116349 0.143895 102 64
278 215129246 219797 3890 0.115341 0.144103 106 76
279 215882504 753258 3902 0.117595 0.144381 115 86
280 216045240 162736 3906 0.117054 0.143267 95 65
281 216836767 791527 3920 0.116945 0.144201 96 60
282 217393881 557114 3929 0.116987 0.144562 99 70
283 218172473 778592 3943 0.117104 0.144881 109 70
284 218692041 519568 3953 0.117556 0.146153 94 76
285 219157697 465656 3960 0.117571 0.146289 108 80
286 219525865 368168 3968 0.11649 0.145292 104 54
287 219897670 371805 3975 0.11617 0.144712 122 79
288 220201941 304271 3979 0.116659 0.144855 102 82
289 220619254 417313 3987 0.117159 0.145399 103 76
290 221187696 568442 4000 0.116733 0.143492 120 64
291 221989325 801629 4012 0.11633 0.144313 115 64
292 222996123 1006798 4030 0.116665 0.145527 109 68
293 223281294 285171 4035 0.116627 0.144874 113 75
294 223828318 547024 4045 0.115788 0.144023 121 61
295 224358136 529818 4053 0.114897 0.143378 99 55
296 224819770 461634 4061 0.11364 0.14236 115 66
297 225585728 765958 4076 0.114745 0.14383 104 82
298 226378967 793239 4088 0.11481 0.143673 102 58
299 226830837 451870 4090 0.115255 0.14448 88 80
300 227193541 362704 4098 0.11453 0.14345 111 57
301 227805493 611952 4108 0.114519 0.143131 97 65
302 228271149 465656 4117 0.113693 0.143086 110 60
303 228805848 534699 4129 0.113523 0.143191 92 54
304 229432388 626540 4139 0.114428 0.143642 95 64
305 230005230 572842 4150 0.114067 0.143717 111 75
306 230699766 694536 4164 0.113818 0.143528 107 61
307 231363852 664086 4174 0.112979 0.143637 120 70
308 231785452 421600 4183 0.112868 0.142382 104 64
309 232161384 375932 4189 0.111604 0.141427 104 51
310 232733485 572101 4199 0.112134 0.141504 109 75
311 233235171 501686 4210 0.112279 0.141219 107 70
312 233657154 421983 4217 0.11319 0.142717 91 78
313 234380685 723531 4229 0.112732 0.142527 120 71
314 234938204 557519 4239 0.113013 0.142943 104 71
315 235320257 382053 4245 0.112995 0.143067 104 77
316 235945612 625355 4255 0.113054 0.142936 114 73
317 236260670 315058 4260 0.112511 0.141926 109 65
318 236694360 433690 4265 0.111136 0.14088 95 50
319 236955224 260864 4271 0.111605 0.141269 100 79
320 237283387 328163 4277 0.112096 0.141668 98 83
321 237609242 325855 4282 0.111981 0.142554 102 84
322 238161127 551885 4294 0.112624 0.143563 88 73
323 238513066 351939 4301 0.112761 0.144358 86 75
324 238941336 428270 4308 0.112994 0.146131 87 77
325 239182541 241205 4312 0.112144 0.146201 94 75
326 239820879 638338 4323 0.112047 0.146393 106 73
327 240350537 529658 4333 0.112739 0.147805 94 89
328 240914369 563832 4343 0.112618 0.147639 101 73
329 241065611 151242 4343 0.112689 0.147175 94 75
330 241506816 441205 4353 0.112808 0.146832 94 60
331 242213970 707154 4363 0.113572 0.147889 86 73
332 242432904 218934 4368 0.11331 0.147533 88 68
333 242750732 317828 4373 0.112345 0.14687 102 64
334 243012127 261395 4379 0.111755 0.146195 103 69
335 243597286 585159 4389 0.111562 0.146199 94 73
336 244093117 495831 4397 0.111872 0.146758 99 71
337 244567262 474145 4404 0.111554 0.146403 94 59
338 245204893 637631 4412 0.111164 0.146762 106 59
339 245639959 435066 4421 0.111591 0.146971 89 74
340 246116673 476714 4431 0.111744 0.146096 110 71
341 246533986 417313 4437 0.111992 0.147282 89 79
342 246747496 213510 4442 0.112403 0.147614 86 60
343 247143922 396426 4448 0.112381 0.148084 92 72
344 247565522 421600 4457 0.111783 0.147532 120 66
345 248091659 526137 4466 0.111724 0.147124 109 73
346 248369745 278086 4471 0.110703 0.146458 97 64
347 249014908 645163 4483 0.111242 0.147166 104 80
348 249236077 221169 4486 0.110517 0.147479 90 61
349 249519970 283893 4487 0.110853 0.147448 75 64
350 249832836 312866 4495 0.110503 0.147151 108 73
351 250290833 457997 4504 0.109705 0.146275 112 70
352 250993028 702195 4517 0.109179 0.146176 112 61
353 251459652 466624 4527 0.109623 0.14618 112 86
354 251555780 96128 4529 0.109512 0.146012 98 72
355 252034664 478884 4537 0.109126 0.146155 110 71
356 252197783 163119 4540 0.109093 0.145112 99 70
357 252844987 647204 4553 0.109497 0.146169 84 66
358 253293808 448821 4560 0.109556 0.145469 103 77
359 253779117 485309 4570 0.108454 0.145811 104 61
360 254334859 555742 4581 0.108425 0.145461 112 65
361 254587005 252146 4585 0.108003 0.144555 92 65
362 255017401 430396 4593 0.108455 0.143839 100 71
363 255330028 312627 4596 0.109739 0.144642 86 81
364 255814109 484081 4607 0.109161 0.144601 103 58
365 256361372 547263 4616 0.108882 0.143145 108 59
366 257049256 687884 4628 0.107959 0.14374 109 59
367 257809697 760441 4643 0.10792 0.143746 106 55
368 258491681 681984 4653 0.10865 0.144132 107 79
369 259238822 747141 4667 0.108545 0.143766 104 59
370 259568314 329492 4672 0.109079 0.144575 94 77
371 260074190 505876 4679 0.109653 0.144909 90 66
372 260501210 427020 4688 0.110056 0.144775 101 69
373 260796088 294878 4694 0.10934 0.144512 100 75
374 261148410 352322 4698 0.109386 0.143944 99 71
375 261344409 195999 4701 0.10915 0.14312 102 70
376 261771863 427454 4708 0.108413 0.142715 103 73
377 262248859 476996 4713 0.108456 0.143101 98 69
378 262948448 699589 4724 0.108009 0.143071 111 76
379 263245851 297403 4730 0.108675 0.143517 89 72
380 263582710 336859 4735 0.108098 0.14398 81 63
381 264106995 524285 4739 0.10761 0.143637 106 69
382 264572507 465512 4751 0.107145 0.143847 96 61
383 265079761 507254 4761 0.10678 0.143172 109 59
384 265786962 707201 4771 0.106317 0.143276 121 72
385 266413502 626540 4782 0.106502 0.14382 106 69
386 266900096 486594 4791 0.108046 0.143757 79 66
387 267408484 508388 4801 0.10891 0.144674 96 81
388 267802718 394234 4806 0.107357 0.143679 119 57
389 268186623 383905 4815 0.106912 0.143404 103 66
390 268929951 743328 4827 0.107041 0.14452 115 81
391 269125052 195101 4827 0.106484 0.144202 98 79
392 269559970 434918 4834 0.106355 0.144768 95 70
393 269952976 393006 4843 0.105979 0.144718 105 70
394 270556198 603222 4853 0.105648 0.144734 104 63
395 271039965 483767 4861 0.10576 0.144345 97 63
396 271525657 485692 4866 0.10586 0.14461 92 69
397 271750507 224850 4870 0.105691 0.143697 98 65
398 272458342 707835 4878 0.105449 0.143693 108 69
399 273023311 564969 4888 0.105197 0.143956 114 74
400 274272320 1249009 4911 0.105644 0.145415 112 78
401 274916682 644362 4921 0.106212 0.145593 102 78
402 274973743 57061 4923 0.106233 0.146645 92 78
403 275478711 504968 4933 0.105746 0.146456 89 55
404 276179412 700701 4946 0.106396 0.146032 104 73
405 276515357 335945 4951 0.106516 0.14585 110 80
406 276800528 285171 4956 0.107981 0.146723 78 81
407 277110166 309638 4960 0.107482 0.146239 109 80
408 277429894 319728 4965 0.106641 0.146358 88 62
409 277592630 162736 4969 0.107386 0.146572 89 77
410 277999853 407223 4977 0.107091 0.145754 101 68
411 278558813 558960 4986 0.106911 0.145097 111 68
412 279129206 570393 4996 0.107858 0.146025 104 83
413 279333009 203803 4999 0.108182 0.14529 94 72
414 279795506 462497 5006 0.108561 0.145019 101 72
415 280367990 572484 5017 0.10873 0.145687 93 69
416 280612477 244487 5020 0.108396 0.144157 108 74
417 280939961 327484 5027 0.107818 0.144078 106 64
418 281053220 113259 5028 0.108002 0.142809 88 69
419 281325163 271943 5033 0.107098 0.141885 97 53
420 281968235 643072 5044 0.107166 0.142236 115 73
421 282390972 422737 5052 0.107548 0.142222 101 70
422 282734576 343604 5055 0.107664 0.14235 88 63
423 282823603 89027 5059 0.106234 0.140709 106 66
424 283426977 603374 5070 0.105501 0.139696 114 66
425 283934946 507969 5077 0.106253 0.140553 97 85
426 284342169 407223 5087 0.106089 0.140322 100 71
427 284903570 561401 5098 0.106116 0.140593 99 69
428 285081820 178250 5101 0.105703 0.140499 94 70
429 285400851 319031 5105 0.105467 0.139872 114 67
430 285835769 434918 5113 0.105256 0.140516 104 84
431 286177442 341673 5118 0.105309 0.139903 93 61
432 286521046 343604 5123 0.105732 0.140547 88 82
433 287075925 554879 5133 0.106089 0.140997 96 76
434 287760319 684394 5145 0.10603 0.140912 112 66
435 288329204 568885 5153 0.105519 0.141385 105 69
436 288715540 386336 5161 0.105596 0.141508 95 69
437 289092169 376629 5167 0.105643 0.140797 103 70
438 289614023 521854 5176 0.105506 0.141047 105 72
439 290104002 489979 5185 0.10543 0.141294 109 81
440 291120132 1016130 5205 0.105324 0.141369 120 72
441 291395264 275132 5211 0.104816 0.140897 95 62
442 291836242 440978 5219 0.104865 0.140883 97 67
443 292258639 422397 5228 0.105286 0.140435 104 70
444 292462059 203420 5233 0.105033 0.140232 116 87
445 293021221 559162 5243 0.10485 0.141216 94 71
446 293344115 322894 5247 0.105952 0.141684 102 88
447 293644417 300302 5255 0.105508 0.140759 110 72
448 294116791 472374 5263 0.105636 0.140909 94 66
449 294208249 91458 5263 0.105327 0.141317 87 72
450 294633221 424972 5272 0.106007 0.141708 93 77
451 294973453 340232 5279 0.104219 0.1404 122 55
452 295462044 488591 5289 0.104999 0.140694 101 78
453 296188298 726254 5301 0.105083 0.140913 108 77
454 296493266 304968 5306 0.104777 0.14105 104 77
455 297065894 572628 5314 0.103205 0.140111 131 66
456 297376669 310775 5318 0.104281 0.140005 76 72
457 297652133 275464 5322 0.104846 0.140791 74 68
458 298205875 553742 5334 0.104922 0.14117 101 69
459 298674829 468954 5342 0.104629 0.141907 105 81
460 299029874 355045 5348 0.10463 0.142005 95 70
461 299371243 341369 5353 0.104661 0.141822 103 75
462 299920315 549072 5365 0.105065 0.142046 109 79
463 300624702 704387 5378 0.104194 0.141352 121 65
464 301145184 520482 5388 0.10484 0.141605 100 75
465 301415058 269874 5393 0.104753 0.14099 108 82
466 301652460 237402 5398 0.104455 0.141035 81 64
467 302105947 453487 5405 0.104451 0.141368 93 65
468 302690826 584879 5415 0.104498 0.140692 108 68
469 303166428 475602 5423 0.104877 0.141533 96 74
470 303557817 391389 5428 0.104274 0.140967 107 65
471 303649275 91458 5427 0.104785 0.140494 89 78
472 303781417 132142 5431 0.104665 0.14061 96 79
473 303954243 172826 5433 0.103675 0.139765 103 74
474 304521822 567579 5447 0.103522 0.139207 106 65
475 304750092 228270 5450 0.103581 0.138513 98 72
476 305411509 661417 5463 0.103414 0.138398 113 72
477 305673601 262092 5466 0.104749 0.13989 86 89
478 306145661 472060 5474 0.104847 0.139408 115 80
479 306440539 294878 5480 0.105265 0.14021 97 80
480 306623455 182916 5479 0.104134 0.139027 105 69
481 307135375 511920 5489 0.103838 0.139185 95 59
482 307518291 382916 5496 0.103208 0.138709 108 59
483 308192094 673803 5510 0.103949 0.139852 101 77
484 308727176 535082 5517 0.104276 0.140716 109 89
485 309035520 308344 5524 0.103729 0.140265 115 71
486 309478054 442534 5532 0.103258 0.140888 106 80
487 309718031 239977 5535 0.103491 0.140815 84 63
488 310329440 611409 5543 0.103462 0.141118 103 73
489 310492176 162736 5549 0.103966 0.140623 90 71
490 310992107 499931 5558 0.10408 0.140877 102 81
491 311480384 488277 5566 0.104063 0.141193 107 70
492 312123301 642917 5577 0.103587 0.141082 115 77
493 312459246 335945 5579 0.103911 0.141005 101 80
494 312713440 254194 5586 0.104047 0.141177 84 66
495 313093605 380165 5593 0.104619 0.141149 100 79
496 313470234 376629 5599 0.104642 0.140605 106 74
497 313782717 312483 5602 0.104536 0.140835 100 78
498 314252946 470229 5612 0.104891 0.141033 101 76
499 314385088 132142 5614 0.105371 0.141072 93 88
500 314804543 419455 5617 0.105731 0.141351 99 92
501 315039323 234780 5623 0.105431 0.141385 102 74
502 315282023 242700 5627 0.104893 0.1415 91 63
503 315773305 491282 5634 0.106107 0.142967 83 95
504 316001575 228270 5637 0.10642 0.143233 92 76
505 316325238 323663 5644 0.106379 0.142947 93 76
506 316673277 348039 5647 0.106375 0.143204 95 82
507 316877080 203803 5652 0.105887 0.142785 109 84
508 317408880 531800 5661 0.105602 0.143165 106 67
509 317923075 514195 5670 0.106028 0.144116 93 69
510 318035420 112345 5670 0.106097 0.143857 79 74
511 318330298 294878 5677 0.105752 0.144678 97 80
512 318898209 567911 5689 0.105513 0.143773 107 63
513 319432367 534158 5698 0.105374 0.144089 99 71
514 319760364 327997 5704 0.105294 0.144147 95 81
515 320071139 310775 5706 0.105405 0.144177 83 71
516 320555830 484691 5715 0.106084 0.144826 89 75
517 321033624 477794 5723 0.105744 0.145238 80 59
518 321343262 309638 5729 0.105776 0.144727 106 73
519 321434720 91458 5729 0.104891 0.144463 89 75
520 321663047 228327 5734 0.104789 0.143974 96 70
521 321950504 287457 5736 0.105174 0.144062 98 85
522 322452489 501985 5745 0.104821 0.144484 113 77
523 322646202 193713 5749 0.105688 0.145479 88 90
524 322930990 284788 5757 0.10528 0.144394 108 63
525 323460265 529275 5768 0.105736 0.144349 103 85
526 323729219 268954 5772 0.106115 0.144981 84 74
527 323937692 208473 5774 0.105066 0.144241 111 73
528 324364015 426323 5782 0.104879 0.143753 111 69
529 324796502 432487 5791 0.104738 0.143807 100 65
530 325112267 315765 5798 0.10475 0.143615 109 85
531 325715345 603078 5810 0.105067 0.143917 99 70
532 326020313 304968 5813 0.104644 0.144076 97 72
533 326274890 254577 5815 0.104517 0.143701 108 83
